,ASP_col
532,35.6
533,34.3
534,34.4
535,33.4
536,32.3
537,32.4
538,36.11
539,44.12
540,186.1
541,179.1
542,172.1
543,166.0
544,161.0
545,155.2
546,150.1
547,145.2
548,141.3
549,137.3
550,134.4
551,132.2
552,129.2
553,127.3
554,124.2
555,121.4
556,118.1
557,113.2
558,109.0
559,104.2
560,99.3
561,94.3
562,89.1
563,85.2
564,80.4
565,75.4
566,70.6
567,66.5
568,62.4
569,58.3
570,55.4
571,53.6
572,51.7
573,49.9
574,48.8
575,47.1
576,47.11
577,46.11
578,45.9
579,44.13
580,44.14
581,43.14
582,42.11
583,41.8
584,40.1
585,215.1
586,218.1
587,216.1
588,211.1
589,202.3
590,193.2
591,183.1
592,173.0
593,163.1
594,154.3
595,146.2
596,140.1
597,134.5
598,129.3
599,126.3
600,123.7
601,121.5
602,120.5
603,120.6
604,120.7
605,119.3
606,118.2
607,117.8
608,114.4
609,111.2
610,107.2
611,102.0
612,99.4
613,94.4
614,89.2
615,84.2
616,80.5
617,76.1
618,72.0
619,68.2
620,65.2
621,62.5
622,60.3
623,58.4
624,56.9
625,55.5
626,54.8
627,53.7
628,52.11
629,52.12
630,51.8
631,51.9
632,50.8
633,50.9
634,49.1
635,48.9
636,47.12
637,46.12
638,47.13
639,52.13
640,63.2
641,80.6
642,102.1
643,128.4
644,155.3
645,178.1
646,197.0
647,210.0
648,217.0
649,219.1
650,216.2
651,210.1
652,202.4
653,192.1
654,182.2
655,172.2
656,164.2
657,156.1
658,150.2
659,144.0
660,97.3
661,92.1
662,87.0
663,82.1
664,76.2
665,72.1
666,67.2
667,63.3
668,60.4
669,56.1
670,54.9
671,52.14
672,50.1
673,48.1
674,47.14
675,46.13
676,45.1
677,44.15
678,43.15
679,43.16
680,42.12
681,42.13
682,41.9
683,41.1
684,40.11
685,39.8
686,40.12
687,43.17
688,52.15
689,67.3
690,88.3
691,113.3
692,140.2
693,165.2
694,186.2
695,201.1
696,210.2
697,213.1
698,211.2
699,205.0
700,198.0
701,189.0
702,180.1
703,172.3
704,165.3
705,159.3
706,154.4
707,149.2
708,144.1
709,139.0
710,133.2
711,129.4
712,125.7
713,122.3
714,119.4
715,117.9
716,115.2
717,114.5
718,112.2
719,109.1
720,107.3
721,103.3
722,100.5
723,96.1
724,91.2
725,86.3
726,81.0
727,76.3
728,72.2
729,68.3
730,64.4
731,60.5
732,56.11
733,53.8
734,50.11
735,47.15
736,45.11
737,43.18
738,42.14
739,40.13
740,39.9
741,38.7
742,38.8
743,38.9
744,37.6
745,37.7
746,37.8
747,36.12
748,35.7
749,34.5
750,33.5
751,35.8
752,42.15
753,56.12
754,76.4
755,102.2
756,132.3
757,161.1
758,186.3
759,205.1
760,217.1
761,222.0
762,222.1
763,217.2
764,209.2
765,199.1
766,189.1
767,180.2
768,171.1
769,163.2
770,156.2
771,150.3
772,144.2
773,139.1
774,134.6
775,130.4
776,126.4
777,124.3
778,122.4
779,121.6
780,120.8
781,118.3
782,117.1
783,115.3
784,113.4
785,109.2
786,105.1
787,100.6
788,96.2
789,91.3
790,86.4
791,81.1
792,76.5
793,71.3
794,67.4
795,63.4
796,59.6
797,56.13
798,54.1
799,52.16
800,50.12
801,49.11
802,48.11
803,47.16
804,46.14
805,46.15
806,45.12
807,45.13
808,45.14
809,44.16
810,44.17
811,43.19
812,42.16
813,41.11
814,40.14
815,42.17
816,48.12
817,60.6
818,79.3
819,103.4
820,132.4
821,160.0
822,185.1
823,203.3
824,215.2
825,220.1
826,219.2
827,214.1
828,205.2
829,195.2
830,183.2
831,172.4
832,162.0
833,153.0
834,145.3
835,139.2
836,133.3
837,127.4
838,123.8
839,120.9
840,118.4
841,117.11
842,117.12
843,116.2
844,116.3
845,115.4
846,113.5
847,110.3
848,106.3
849,103.5
850,99.5
851,95.4
852,89.3
853,84.3
854,79.4
855,74.7
856,69.1
857,64.5
858,61.3
859,57.2
860,54.11
861,51.1
862,49.12
863,47.17
864,45.15
865,44.18
866,43.2
867,42.18
868,41.12
869,41.13
870,41.14
871,41.15
872,41.16
873,41.17
874,41.18
875,40.15
876,40.16
877,39.1
878,39.11
879,43.21
880,52.17
881,69.2
882,92.2
883,119.5
884,149.3
885,177.2
886,200.3
887,216.3
888,226.2
889,229.3
890,225.1
891,218.2
892,209.3
893,199.2
894,188.0
895,179.2
896,171.2
897,163.3
898,158.2
899,152.3
900,147.2
901,142.3
902,137.4
903,133.4
904,129.5
905,125.8
906,122.5
907,119.6
908,117.13
909,114.6
910,112.3
911,109.3
912,106.4
913,102.3
914,98.1
915,94.5
916,88.4
917,83.3
918,78.2
919,72.3
920,67.5
921,62.6
922,57.3
923,52.18
924,49.13
925,45.16
926,43.22
927,40.17
928,39.12
929,37.9
930,36.13
931,34.6
932,33.6
933,33.7
934,32.5
935,31.3
936,31.4
937,31.5
938,30.0
939,30.1
940,30.2
941,29.0
942,28.0
943,27.0
944,26.0
945,119.7
946,117.14
947,114.7
948,111.3
949,108.4
950,104.3
951,100.7
952,95.5
953,90.4
954,84.4
955,79.5
956,73.1
957,68.4
958,63.5
959,59.7
960,55.6
961,51.11
962,48.13
963,46.16
964,44.19
965,42.19
966,40.18
967,39.13
968,38.1
969,37.1
970,37.11
971,36.14
972,35.9
973,35.1
974,34.7
975,33.8
976,32.6
977,31.6
978,30.3
979,29.1
980,28.1
981,27.1
982,26.1
983,26.2
984,30.4
985,40.19
986,58.5
987,84.5
988,113.6
989,146.3
990,176.2
991,200.4
992,216.4
993,225.2
994,228.0
995,225.3
996,217.3
997,208.0
998,196.0
999,185.2
1000,175.0
1001,166.1
1002,158.3
1003,150.4
1004,144.3
1005,138.2
1006,132.5
1007,127.5
1008,124.4
1009,121.7
1010,120.1
1011,119.8
1012,118.5
1013,118.6
1014,117.15
1015,115.5
1016,112.4
1017,109.4
1018,105.2
1019,100.8
1020,96.3
1021,90.5
1022,84.6
1023,79.6
1024,74.8
1025,69.3
1026,64.6
1027,60.7
1028,56.14
1029,53.9
1030,50.13
1031,47.18
1032,45.17
1033,43.23
1034,42.2
1035,41.19
1036,40.2
1037,40.21
1038,39.14
1039,39.15
1040,39.16
1041,39.17
1042,39.18
1043,39.19
1044,38.11
1045,37.12
1046,36.15
1047,35.11
1048,35.12
1049,38.12
1050,46.17
1051,62.7
1052,85.3
1053,113.7
1054,144.4
1055,175.1
1056,200.5
1057,219.3
1058,230.0
1059,235.0
1060,234.0
1061,228.1
1062,220.2
1063,210.3
1064,198.1
1065,188.1
1066,178.2
1067,170.2
1068,162.1
1069,156.3
1070,151.0
1071,145.4
1072,140.3
1073,134.7
1074,130.5
1075,127.6
1076,124.5
1077,122.6
1078,120.11
1079,117.16
1080,115.6
1081,112.5
1082,109.5
1083,105.3
1084,100.9
1085,96.4
1086,91.4
1087,85.4
1088,80.7
1089,74.9
1090,69.4
1091,64.7
1092,59.8
1093,55.7
1094,51.12
1095,48.14
1096,45.18
1097,43.24
1098,41.2
1099,40.22
1100,39.2
1101,38.13
1102,38.14
1103,38.15
1104,38.16
1105,37.13
1106,37.14
1107,37.15
1108,37.16
1109,36.16
1110,36.17
1111,36.18
1112,35.13
1113,34.8
1114,34.9
1115,34.1
1116,37.17
1117,46.18
1118,62.8
1119,85.5
1120,113.8
1121,145.5
1122,174.1
1123,199.3
1124,217.4
1125,229.4
1126,233.0
1127,232.0
1128,226.3
1129,218.3
1130,208.1
1131,198.2
1132,189.2
1133,180.3
1134,172.5
1135,165.4
1136,159.4
1137,153.1
1138,147.3
1139,141.4
1140,136.2
1141,132.6
1142,128.5
1143,125.9
1144,122.7
1145,119.9
1146,117.17
1147,115.7
1148,112.6
1149,108.5
1150,104.4
1151,100.1
1152,96.5
1153,90.6
1154,85.6
1155,79.7
1156,74.1
1157,68.5
1158,63.6
1159,59.9
1160,55.8
1161,51.13
1162,48.15
1163,46.19
1164,44.2
1165,42.21
1166,41.21
1167,40.23
1168,39.21
1169,38.17
1170,38.18
1171,37.18
1172,37.19
1173,36.19
1174,36.2
1175,35.14
1176,35.15
1177,34.11
1178,34.12
1179,33.9
1180,33.1
1181,32.7
1182,31.7
1183,30.5
1184,30.6
1185,32.8
1186,40.24
1187,56.15
1188,79.8
1189,107.4
1190,139.3
1191,170.3
1192,197.1
1193,216.5
1194,228.2
1195,233.1
1196,232.1
1197,227.2
1198,218.4
1199,208.2
1200,123.9
1201,122.8
1202,119.1
1203,116.4
1204,112.7
1205,108.6
1206,103.6
1207,98.2
1208,93.0
1209,87.1
1210,81.2
1211,76.6
1212,71.4
1213,67.6
1214,62.9
1215,59.1
1216,55.9
1217,53.1
1218,51.14
1219,49.14
1220,47.19
1221,46.2
1222,45.19
1223,45.2
1224,44.21
1225,43.25
1226,43.26
1227,42.22
1228,42.23
1229,42.24
1230,41.22
1231,41.23
1232,40.25
1233,39.22
1234,38.19
1235,36.21
1236,36.22
1237,39.23
1238,48.16
1239,65.3
1240,89.4
1241,117.18
1242,148.1
1243,177.3
1244,200.6
1245,217.5
1246,226.4
1247,228.3
1248,225.4
1249,218.5
1250,209.4
1251,198.3
1252,187.1
1253,176.3
1254,166.2
1255,158.4
1256,151.1
1257,144.5
1258,139.4
1259,134.8
1260,129.6
1261,126.5
1262,123.1
1263,121.8
1264,120.12
1265,119.11
1266,118.7
1267,116.5
1268,114.8
1269,111.4
1270,108.7
1271,104.5
1272,100.11
1273,95.6
1274,89.5
1275,84.7
1276,78.3
1277,73.2
1278,68.6
1279,64.8
1280,60.8
1281,57.4
1282,54.12
1283,51.15
1284,49.15
1285,47.2
1286,46.21
1287,45.21
1288,44.22
1289,43.27
1290,43.28
1291,42.25
1292,42.26
1293,42.27
1294,41.24
1295,41.25
1296,40.26
1297,40.27
1298,39.24
1299,39.25
1300,38.2
1301,37.2
1302,36.23
1303,35.16
1304,34.13
1305,34.14
1306,37.21
1307,46.22
1308,61.4
1309,84.8
1310,112.8
1311,143.1
1312,173.1
1313,198.4
1314,217.6
1315,228.4
1316,233.2
1317,232.2
1318,226.5
1319,218.6
1320,125.1
1321,123.11
1322,120.13
1323,117.19
1324,113.9
1325,109.6
1326,105.4
1327,100.12
1328,95.7
1329,90.7
1330,84.9
1331,79.9
1332,74.11
1333,69.5
1334,65.4
1335,62.1
1336,58.6
1337,55.1
1338,53.11
1339,51.16
1340,49.16
1341,48.17
1342,47.21
1343,46.23
1344,45.22
1345,44.23
1346,44.24
1347,43.29
1348,42.28
1349,42.29
1350,41.26
1351,40.28
1352,39.26
1353,38.21
1354,37.22
1355,37.23
1356,36.24
1357,36.25
1358,35.17
1359,34.15
1360,34.16
1361,37.24
1362,46.24
1363,61.5
1364,83.4
1365,111.5
1366,142.4
